epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,34.3698,0.95415,2.55868,0.29287,0.80612,1.0737,0.7541,0.28571,0.36425,0.18191,0.3092,0.14286,0.10973,0.02935,1.97137,8.85278,0.68204,2.37145,2.10958,0.0004298,0.0004298,0.0004298
72,34.8454,0.87055,2.36237,0.29708,0.61459,1.02246,0.84202,0.28571,0.44066,0.20447,0.42101,0.14286,0.11442,0.02829,1.87834,8.7666,0.69409,2.15592,2.01715,0.000421882,0.000421882,0.000421882
73,35.2722,0.7082,2.67583,0.31098,0.52499,1.09935,0.84202,0.28571,0.44066,0.20447,0.42101,0.14286,0.11442,0.02829,1.87834,8.7666,0.69409,2.15592,2.01715,0.000413568,0.000413568,0.000413568
74,35.7807,0.72322,2.41054,0.28299,0.55833,0.97841,0.84202,0.28571,0.44066,0.20447,0.42101,0.14286,0.11442,0.02829,1.87834,8.7666,0.69409,2.15592,2.01715,0.000404858,0.000404858,0.000404858
75,36.2848,0.97182,3.36355,0.33065,0.85879,1.13851,0.92469,0.28571,0.40115,0.22629,0.89203,0.14286,0.14993,0.03129,1.91817,8.73361,0.70735,1.94323,2.06349,0.000395752,0.000395752,0.000395752
76,36.8417,0.62427,1.72908,0.26051,0.47227,0.8909,0.92469,0.28571,0.40115,0.22629,0.89203,0.14286,0.14993,0.03129,1.91817,8.73361,0.70735,1.94323,2.06349,0.00038625,0.00038625,0.00038625
77,37.2782,0.8038,2.56252,0.25087,0.76605,1.0699,0.92469,0.28571,0.40115,0.22629,0.89203,0.14286,0.14993,0.03129,1.91817,8.73361,0.70735,1.94323,2.06349,0.000376352,0.000376352,0.000376352
78,37.7714,1.18055,3.4072,0.3468,0.97284,1.26736,0.38517,0.5,0.4567,0.25979,0.89768,0.14286,0.15047,0.05348,1.9478,8.65485,0.72667,1.85505,2.09655,0.000366058,0.000366058,0.000366058
79,38.2047,0.76242,2.35433,0.28159,0.60877,1.04395,0.38517,0.5,0.4567,0.25979,0.89768,0.14286,0.15047,0.05348,1.9478,8.65485,0.72667,1.85505,2.09655,0.000355368,0.000355368,0.000355368
80,38.6703,0.6445,1.98276,0.32175,0.48333,0.89156,0.38517,0.5,0.4567,0.25979,0.89768,0.14286,0.15047,0.05348,1.9478,8.65485,0.72667,1.85505,2.09655,0.000344282,0.000344282,0.000344282
81,39.2407,0.73616,2.45618,0.34795,0.6505,1.02094,0.54634,0.5,0.50031,0.27747,0.89662,0.14286,0.1508,0.0536,1.90545,8.45805,0.714,1.74474,2.07948,0.0003328,0.0003328,0.0003328
82,39.6662,0.51899,1.52162,0.18753,0.37595,0.87494,0.54634,0.5,0.50031,0.27747,0.89662,0.14286,0.1508,0.0536,1.90545,8.45805,0.714,1.74474,2.07948,0.000320922,0.000320922,0.000320922
83,40.1042,0.62309,1.89721,0.36789,0.45138,0.98498,0.54634,0.5,0.50031,0.27747,0.89662,0.14286,0.1508,0.0536,1.90545,8.45805,0.714,1.74474,2.07948,0.000308648,0.000308648,0.000308648
84,40.5653,0.78679,3.03415,0.26769,0.56485,1.1261,0.59322,0.5,0.51823,0.28119,0.58607,0.21429,0.20655,0.06028,1.87493,8.42395,0.71315,1.76656,2.05224,0.000295978,0.000295978,0.000295978
85,40.9849,0.57488,1.52823,0.22664,0.41271,0.86444,0.59322,0.5,0.51823,0.28119,0.58607,0.21429,0.20655,0.06028,1.87493,8.42395,0.71315,1.76656,2.05224,0.000282912,0.000282912,0.000282912
86,41.405,0.59697,2.14884,0.2597,0.55148,0.97493,0.59322,0.5,0.51823,0.28119,0.58607,0.21429,0.20655,0.06028,1.87493,8.42395,0.71315,1.76656,2.05224,0.00026945,0.00026945,0.00026945
87,41.834,1.10691,4.4597,0.41063,0.82012,1.27841,0.59322,0.5,0.51823,0.28119,0.58607,0.21429,0.20655,0.06028,1.87493,8.42395,0.71315,1.76656,2.05224,0.000255592,0.000255592,0.000255592
88,42.4294,0.71303,1.61104,0.28376,0.44497,0.95906,0.6781,0.5,0.5348,0.30217,0.59427,0.21429,0.20669,0.06872,1.9062,8.38166,0.69653,1.75016,2.06557,0.000241338,0.000241338,0.000241338
89,42.8672,0.58504,2.27233,0.26033,0.43536,0.92398,0.6781,0.5,0.5348,0.30217,0.59427,0.21429,0.20669,0.06872,1.9062,8.38166,0.69653,1.75016,2.06557,0.000226688,0.000226688,0.000226688
90,43.2991,0.64836,2.28638,0.3168,0.50369,1.00013,0.6781,0.5,0.5348,0.30217,0.59427,0.21429,0.20669,0.06872,1.9062,8.38166,0.69653,1.75016,2.06557,0.000211642,0.000211642,0.000211642
91,47.5126,0.50937,1.25394,0.22814,0.4411,0.84341,0.6781,0.5,0.5348,0.30217,0.59427,0.21429,0.20669,0.06872,1.9062,8.38166,0.69653,1.75016,2.06557,0.0001962,0.0001962,0.0001962
92,47.9995,0.58647,1.23873,0.21175,0.42156,0.86074,0.82347,0.5,0.55989,0.31213,0.59171,0.21429,0.20706,0.06886,1.88968,8.30925,0.67453,1.73545,2.04875,0.000180362,0.000180362,0.000180362
93,48.4546,0.71902,1.12644,0.22472,0.48683,0.90548,0.82347,0.5,0.55989,0.31213,0.59171,0.21429,0.20706,0.06886,1.88968,8.30925,0.67453,1.73545,2.04875,0.000164128,0.000164128,0.000164128
94,48.8776,0.49677,1.65306,0.31406,0.34982,0.91646,0.82347,0.5,0.55989,0.31213,0.59171,0.21429,0.20706,0.06886,1.88968,8.30925,0.67453,1.73545,2.04875,0.000147498,0.000147498,0.000147498
95,49.4294,0.56173,1.50199,0.24016,0.4517,0.93835,0.82347,0.5,0.55989,0.31213,0.59171,0.21429,0.20706,0.06886,1.88968,8.30925,0.67453,1.73545,2.04875,0.000130472,0.000130472,0.000130472
96,49.8998,0.52831,1.55603,0.24206,0.49381,0.9355,0.82683,0.5,0.56572,0.32361,0.59154,0.21429,0.20634,0.08024,1.87575,8.18683,0.65266,1.68607,2.00902,0.00011305,0.00011305,0.00011305
97,50.3418,0.46937,1.4355,0.27175,0.45309,0.85962,0.82683,0.5,0.56572,0.32361,0.59154,0.21429,0.20634,0.08024,1.87575,8.18683,0.65266,1.68607,2.00902,9.5232e-05,9.5232e-05,9.5232e-05
98,50.7596,0.52289,1.46659,0.25646,0.42894,0.90756,0.82683,0.5,0.56572,0.32361,0.59154,0.21429,0.20634,0.08024,1.87575,8.18683,0.65266,1.68607,2.00902,7.7018e-05,7.7018e-05,7.7018e-05
99,51.1816,0.56752,1.36673,0.20577,0.38889,0.94997,0.82683,0.5,0.56572,0.32361,0.59154,0.21429,0.20634,0.08024,1.87575,8.18683,0.65266,1.68607,2.00902,5.8408e-05,5.8408e-05,5.8408e-05
100,51.7775,0.4585,1.30632,0.23934,0.42135,0.84875,0.8735,0.49401,0.5746,0.33105,0.59294,0.21429,0.20648,0.0803,1.89257,8.06164,0.64629,1.66185,2.01721,3.9402e-05,3.9402e-05,3.9402e-05
